model,family,scope,method,label,x,y
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.2069,0.6667
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.4483,0.6667
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.4483,0.7619
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.4828,0.7619
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.4828,0.8571
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.6207,0.8571
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.6207,0.9524
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.6897,0.9524
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.6897,1.0000
convnext_tiny_emotion,cnn,dev,smoothed,neutral,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.0250,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.2500,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.2500,0.1000
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.4500,0.1000
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.4500,0.6000
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.6500,0.6000
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.6500,0.8000
convnext_tiny_emotion,cnn,dev,smoothed,positive,1.0000,0.8000
convnext_tiny_emotion,cnn,dev,smoothed,positive,1.0000,1.0000
convnext_tiny_emotion,cnn,test,single_frame,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,test,single_frame,negative,0.0238,0.0000
convnext_tiny_emotion,cnn,test,single_frame,negative,0.0238,0.1250
convnext_tiny_emotion,cnn,test,single_frame,negative,0.0714,0.1250
convnext_tiny_emotion,cnn,test,single_frame,negative,0.0714,0.5000
convnext_tiny_emotion,cnn,test,single_frame,negative,0.0952,0.5000
convnext_tiny_emotion,cnn,test,single_frame,negative,0.0952,0.6250
convnext_tiny_emotion,cnn,test,single_frame,negative,0.1905,0.6250
convnext_tiny_emotion,cnn,test,single_frame,negative,0.1905,0.7500
convnext_tiny_emotion,cnn,test,single_frame,negative,0.2619,0.7500
convnext_tiny_emotion,cnn,test,single_frame,negative,0.2619,0.8750
convnext_tiny_emotion,cnn,test,single_frame,negative,0.5952,0.8750
convnext_tiny_emotion,cnn,test,single_frame,negative,0.5952,1.0000
convnext_tiny_emotion,cnn,test,single_frame,negative,1.0000,1.0000
convnext_tiny_emotion,cnn,test,single_frame,neutral,0.0000,0.0000
convnext_tiny_emotion,cnn,test,single_frame,neutral,0.0000,0.0333
convnext_tiny_emotion,cnn,test,single_frame,neutral,0.0000,0.4333
convnext_tiny_emotion,cnn,test,single_frame,neutral,0.0500,0.4333
convnext_tiny_emotion,cnn,test,single_frame,neutral,0.0500,0.5667
convnext_tiny_emotion,cnn,test,single_frame,neutral,0.1000,0.5667
convnext_tiny_emotion,cnn,test,single_frame,neutral,0.1000,0.6667
